date,commit,total_collabs
2017-01-06,95c79207a1d485d87587e45391177f78d32efb3b,928
2017-01-11,ffb3fb0a52eaebfe9afc4e390b74374e8f03c7e2,927
2017-01-12,6bdb3319daf61f96dd620fc5d0d97d58677d6d01,929
2017-01-13,6e14bad9b22a7126bca703de29139a8a4c2ba760,931
2017-01-14,eb0e1e85b9f966dd44f68ae4c7380ae94ceb5ef0,930
2017-01-16,fd6f76c41bed55b699cefc026b1a8229b4aec641,926
2017-01-18,328c574deb3ccc59b6a2fb98c9e3f0f32bc6c096,929
2017-01-19,abc9bbd1f0548b506a76fdbeb5c28b0b3183d5eb,931
2017-01-21,8565a86be26467fcb423e155a869353ff33c3fe4,932
2017-01-23,be513ee27ae6fcc87ec8e74cb4e6717230e31aad,930
2017-01-24,5e9254295d0a51faf799767cd423dafd51ffe3ed,931
2017-01-27,a68b80dd8c66c53f8ee9d2d59d6b21f39768646d,935
2017-02-01,1025cb894cee6fc0b770f6bc68a9cb5aadd1b55e,933
2017-02-04,c50b5af5284b7d41169fb1de061db89b0e01cee5,933
2017-02-07,574700d58b2ee18189dce9d3cc62316f4560fc10,933
2017-02-15,f0a4c6e2eedc9ac1ec829be459753d27e54b7f6c,934
2017-02-17,4014083483ed66d2592c5080fadd6cb0426e8c72,936
2017-02-18,3787d1cc79d610bf927aec1345ed96f634d40f14,935
2017-02-21,e82772f0db8bf35c32d715fc9621b0c8f7629af8,935
2017-02-22,344be1275cfedfad8e98bcd9aabdf109e4ed8851,934
2017-02-26,6a49eb50095e3c8a8882e0a340fbbe921e27463e,934
2017-02-28,ef1b283ea747d1570d392a909a73b2f6cdf43ac9,934
2017-03-01,d30274d64ad1e25cbaf31b210e2440a9a93a11f8,931
2017-03-03,6e1715890bf0347d9ffc69561596271d35fec2c8,933
2017-03-04,a5b1ec1bd911098a2c2bf15feb3b98dfaa7ee870,936
2017-03-08,1e3919a8000941d8db77624984e610c6196d12a4,935
2017-03-13,f3b23983fc44120f9a382fe00c26228507d193b2,934
2017-03-15,54c4194da3e33d9630fd48647de4535932cad4d3,934
2017-03-22,66186c90945e1c0dc659c9fbee2712fb1a267473,933
2017-03-24,a534a6a2e148562840b7c551007012715e013672,936
2017-03-31,b266580a92bfd3f17b6af4969a09c5ff37b362ff,936
2017-04-01,9a33ed5470337b65bad92e964c8846a828059190,929
2017-04-02,29d4ab30651332e8bfb6683918ed7a1a74a73300,930
2017-04-09,5d94e7cc7bd1cb64713c2881016e4c6a2f6deab9,929
2017-04-11,e8889b1f8a10cbe881a60be51178cef73dba127c,929
2017-04-13,07bce1682cd2eec4cea5c8fafe7b5966e4aaee0f,930
2017-04-19,f8602a75eef87940d7c5b44e4eb96f80c08742b9,930
2017-04-24,5273f2f4ae12e3b231a09d0a059baee1d367e048,933
2017-04-27,6ae9cb13caa621cf0cd89544ff69cc744b326719,934
2017-05-01,05e64101009c85451a378a027fdcae753045e5b9,931
